type,n,fyear
n_treat,6631,2002
n_treat,6943,2003
n_treat,7255,2004
n_treat,7285,2005
n_treat,7288,2006
n_treat,7292,2007
n_treat,7292,2008
n_treat,7295,2009
n_treat,7295,2010
n_treat,7295,2011
n_treat,7295,2012
n_treat,7295,2013
n_treat,7295,2014
n_treat,7295,2015
n_treat,7295,2016
n_treat,7295,2017
n_treat,7295,2018
n_treat,7295,2019
n_treat,7295,2020
n_treat,7295,2021
n_treat,7295,2022
n_control,1013841,2002
n_control,1037845,2003
n_control,1060201,2004
n_control,1063505,2005
n_control,1063804,2006
n_control,1063809,2007
n_control,1063991,2008
n_control,1064938,2009
n_control,1064938,2010
n_control,1064938,2011
n_control,1064938,2012
n_control,1064938,2013
n_control,1064938,2014
n_control,1064938,2015
n_control,1064938,2016
n_control,1064938,2017
n_control,1064938,2018
n_control,1064938,2019
n_control,1064938,2020
n_control,1064938,2021
n_control,1064938,2022
