t,estimate,conf.low,conf.high
-7,1540.8330824196084,526.8464942652886,2554.8196705739283
-6,1817.226150976481,850.0862612785616,2784.3660406744
-5,1728.0006392854257,784.198188607823,2671.8030899630285
-4,1530.6166120801322,570.9293313606911,2490.303892799573
-3,1806.195754972006,856.2641520380993,2756.1273579059125
-2,920.7613237376676,-47.216736002417974,1888.739383477753
0,-14457.637356640955,-15497.092377748704,-13418.182335533205
1,-7914.4316591712095,-8858.002581377814,-6970.860736964604
2,-5371.42028847414,-6306.487446451268,-4436.353130497012
3,-3375.1100618323517,-4321.680211253376,-2428.5399124113274
4,-2219.7712989134316,-3184.655815421359,-1254.886782405504
5,-2077.7903257355415,-3056.3051221500573,-1099.2755293210257
6,-1774.4376261530736,-2753.3242734793566,-795.5509788267906
7,-1600.1580433775143,-2604.9253636679173,-595.3907230871113
8,-905.0970221505211,-1910.0239269367003,99.82988263565801
9,-874.0060766547424,-1905.8841911041839,157.87203779469905
10,807.933925629837,-435.12569381675644,2050.9935450764306
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
