t,estimate,conf.low,conf.high
-6,2012.5195243526332,1125.0609774865625,2899.978071218704
-5,2051.272328344846,1196.5349739987935,2906.0096826908984
-4,1820.2404062683092,958.2930725878385,2682.18773994878
-3,1830.4665492588579,986.6560603663078,2674.277038151408
-2,1040.402394917657,159.45131801892774,1921.353471816386
0,-14604.632753274997,-15538.336945727897,-13670.928560822096
1,-9172.590915877472,-10073.740183964932,-8271.441647790012
2,-6220.897640644912,-7095.01085833248,-5346.784422957344
3,-4051.6284168832935,-4938.172645659417,-3165.08418810717
4,-2989.386363352598,-3888.394628447473,-2090.3780982577227
5,-2675.79888513065,-3589.1526374463374,-1762.4451328149623
6,-2260.6094743554863,-3195.6110544826806,-1325.607894228292
7,-1929.2845348158944,-2905.943880778952,-952.6251888528369
8,-1249.8855639053122,-2187.516612095429,-312.25451571519557
9,-1346.0947055535548,-2308.176186200228,-384.01322490688165
10,158.82873871201397,-1006.5964446800517,1324.2539221040797
-7,1888.0323235652372,957.438150240737,2818.6264968897376
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
