t,estimate,conf.low,conf.high
2,-5849.746882705217,-7199.884587537879,-4499.609177872555
3,-3525.6626231615282,-4931.7761389043535,-2119.549107418703
4,-2855.828390697893,-4282.274478849788,-1429.382302545999
5,-2356.049263537199,-3764.3889457101186,-947.7095813642793
6,-2274.6980482657527,-3679.153664362282,-870.2424321692235
8,-1758.7788688067387,-3213.238092946378,-304.3196446670993
9,-1218.5107548035355,-2745.074920732807,308.0534111257359
10,-588.095138902063,-2312.2346117689167,1136.0443339647904
1,-9758.213328121152,-11150.184824404048,-8366.241831838255
7,-2535.1622231632723,-4025.7232055498343,-1044.60124077671
-7,-302.8622353445036,-1769.4076377586134,1163.6831670696065
-6,335.0293719489398,-1081.1741672586802,1751.2329111565598
-5,316.646434267101,-1055.3912334548245,1688.6841019890267
-4,979.0856319444173,-474.25789842389224,2432.429162312727
-3,1633.4432614766465,228.2273088098309,3038.659214143462
-2,1231.853883058666,-178.96405063777956,2642.6718167551116
0,-2950.7183229600914,-4348.285070877786,-1553.1515750423964
-10,NA,NA,NA
-9,NA,NA,NA
-8,NA,NA,NA
-1,0,NA,NA
