rel_year,coefficient,se,r2,dof,avg_inc,counts_treated,Industry
-5,1362.971632588215,1024.926543283453,0.6204741768769535,23749,84674.94157734673,609,Primary
-4,421.9041404872101,823.3706219392564,0.6204741768769535,23749,88729.72160254803,609,Primary
-2,-191.04634202435204,765.0311780592564,0.6204741768769535,23749,93469.30621870056,609,Primary
-1,-1284.0213537226375,1013.0641155099731,0.6204741768769535,23749,94195.86423186009,609,Primary
0,-17130.81523527264,1496.0193054514868,0.6204741768769535,23749,78575.73345580464,609,Primary
1,-44682.10694509665,2156.828387744549,0.6204741768769535,23749,47743.14227827439,609,Primary
2,-29725.361185614925,2147.267097905758,0.6204741768769535,23749,58298.98617563286,605,Primary
3,-22822.31603603688,2244.271468668099,0.6204741768769535,23749,63400.5844687329,601,Primary
4,-20263.52617381996,2385.999675336793,0.6204741768769535,23749,63985.86997058954,598,Primary
5,-17305.406842628294,2404.392229554107,0.6204741768769535,23749,65929.39450801825,597,Primary
-3,0,0,0.6204741768769535,23749,91216.17996077331,609,Primary
-5,148.9985332859245,263.9599785562765,0.595121429159398,201552,66065.317794954,5124,Secondary
-4,-30.010123194787454,205.6105334383905,0.595121429159398,201552,68597.85596214829,5124,Secondary
-2,-26.812834047522642,203.5823744035066,0.595121429159398,201552,71179.10082535628,5124,Secondary
-1,-856.0961775125683,257.89403493333384,0.595121429159398,201552,71398.33124204546,5124,Secondary
0,-8041.107488428831,378.7016254181103,0.595121429159398,201552,64786.26134652659,5124,Secondary
1,-22879.62973550173,577.8265847170425,0.595121429159398,201552,48909.10836692607,5124,Secondary
2,-14439.074423013997,588.219079622282,0.595121429159398,201552,55031.7465302159,5111,Secondary
3,-13045.379067244432,609.3599259877718,0.595121429159398,201552,55465.54933128869,5087,Secondary
4,-11684.206128984908,642.7926333649302,0.595121429159398,201552,56160.14210625911,5044,Secondary
5,-10018.329649936384,673.2264925267499,0.595121429159398,201552,56313.68913128007,5007,Secondary
-3,0,0,0.595121429159398,201552,70157.16085782635,5124,Secondary
-5,831.5954374274925,448.9568678690719,0.6107659608307664,51767,48962.86912075476,1222,Sales
-4,291.21768345673723,327.9910476109073,0.6107659608307664,51767,50577.00419533034,1222,Sales
-2,-471.2742685718806,317.4307562472573,0.6107659608307664,51767,52170.5401991524,1222,Sales
-1,-1193.1316404220506,423.0477326400077,0.6107659608307664,51767,52561.60857247297,1222,Sales
0,-5409.10812493876,645.0738860641812,0.6107659608307664,51767,48746.81713346205,1222,Sales
1,-16792.5709251059,913.5029284243941,0.6107659608307664,51767,36344.39559391562,1222,Sales
2,-10737.396678486888,968.8291015924441,0.6107659608307664,51767,40484.28077215902,1218,Sales
3,-8731.202788998431,1040.0923170876597,0.6107659608307664,51767,41121.48328261247,1208,Sales
4,-7430.352792769183,1095.3476741897784,0.6107659608307664,51767,40856.86833213517,1202,Sales
5,-5403.884822974244,1153.8338678671055,0.6107659608307664,51767,41225.240720857255,1195,Sales
-3,0,0,0.6107659608307664,51767,51620.205909129145,1222,Sales
-5,-322.73116362309815,252.01073300873486,0.6078497202798097,283466,68738.17207370057,6209,Private_Services
-4,-297.1423163528877,197.72868820906157,0.6078497202798097,283466,71389.70424323586,6209,Private_Services
-2,-661.6610770041518,198.0136763388906,0.6078497202798097,283466,74964.35601585008,6209,Private_Services
-1,-875.1980677385675,254.0962279405809,0.6078497202798097,283466,75709.85255038914,6209,Private_Services
0,-7519.280187761107,381.1419169651105,0.6078497202798097,283466,70110.76093443313,6209,Private_Services
1,-16901.02677816957,541.8090230048182,0.6078497202798097,283466,59537.26161058778,6209,Private_Services
2,-11431.547741625744,578.1173304993496,0.6078497202798097,283466,63072.32350457303,6167,Private_Services
3,-8745.572669476029,608.6909725021854,0.6078497202798097,283466,64037.291683053925,6153,Private_Services
4,-8201.583850563955,642.5470744183999,0.6078497202798097,283466,63388.66533118312,6125,Private_Services
5,-7248.649781229496,668.8052475804845,0.6078497202798097,283466,63229.95681624213,6046,Private_Services
-3,0,0,0.6078497202798097,283466,73093.81776053844,6209,Private_Services
-5,-195.0295317292971,180.75123360129382,0.6164763259416373,379104,62694.56451160928,10609,Public_Services
-4,234.9219581737965,143.16311289915967,0.6164763259416373,379104,65298.28679965878,10609,Public_Services
-2,223.65405666243856,142.70822390814337,0.6164763259416373,379104,68736.43272157361,10609,Public_Services
-1,346.0551921802147,182.80624567181377,0.6164763259416373,379104,69847.1754990733,10609,Public_Services
0,-785.0042082214998,241.64387053295383,0.6164763259416373,379104,70144.2539704776,10609,Public_Services
1,-4054.2615156448915,322.8310882741434,0.6164763259416373,379104,68045.15346666826,10609,Public_Services
2,-3490.9188614605164,358.0937217210941,0.6164763259416373,379104,67783.42146210735,10607,Public_Services
3,-3456.626634545435,387.7920082088872,0.6164763259416373,379104,67302.52300943062,10563,Public_Services
4,-4046.3604967029632,423.66656280583317,0.6164763259416373,379104,66674.5390822673,10552,Public_Services
5,-4443.700089440648,450.29956698997324,0.6164763259416373,379104,66656.60059701436,10547,Public_Services
-3,0,0,0.6164763259416373,379104,66684.31804840393,10609,Public_Services
