age,year,threemSR,sixmSR
19,1,0.495,0.254
19,2,0.48,0.248
19,3,0.533,0.309
19,4,0.515,0.281
19,5,0.514,0.296
19,6,0.51,0.309
19,7,0.561,0.356
19,8,0.567,0.363
19,9,0.555,0.356
19,10,0.567,0.355
19,11,0.587,0.401
19,12,0.616,0.446
19,13,0.6,0.403
20,1,0.391,0.122
20,2,0.381,0.119
20,3,0.403,0.131
20,4,0.398,0.115
20,5,0.379,0.11
20,6,0.449,0.224
20,7,0.514,0.301
20,8,0.526,0.316
20,9,0.529,0.317
20,10,0.539,0.313
20,11,0.527,0.316
20,12,0.597,0.417
20,13,0.577,0.422
21,1,0.573,0.334
21,2,0.577,0.347
21,3,0.633,0.439
21,4,0.629,0.417
21,5,0.6,0.397
21,6,0.602,0.405
21,7,0.383,0.132
21,8,0.388,0.129
21,9,0.397,0.125
21,10,0.41,0.137
21,11,0.382,0.121
21,12,0.452,0.224
21,13,0.571,0.401
22,1,0.542,0.285
22,2,0.544,0.314
22,3,0.602,0.393
22,4,0.595,0.376
22,5,0.566,0.349
22,6,0.585,0.371
22,7,0.625,0.423
22,8,0.654,0.447
22,9,0.679,0.472
22,10,0.668,0.439
22,11,0.636,0.425
22,12,0.666,0.469
22,13,0.62,0.455
23,1,0.535,0.291
23,2,0.533,0.303
23,3,0.59,0.381
23,4,0.568,0.349
23,5,0.544,0.324
23,6,0.563,0.349
23,7,0.612,0.407
23,8,0.625,0.413
23,9,0.629,0.419
23,10,0.645,0.42
23,11,0.597,0.375
23,12,0.64,0.444
23,13,0.587,0.418
24,1,0.537,0.292
24,2,0.535,0.302
24,3,0.582,0.378
24,4,0.569,0.351
24,5,0.545,0.33
24,6,0.558,0.357
24,7,0.608,0.409
24,8,0.613,0.407
24,9,0.633,0.428
24,10,0.618,0.41
24,11,0.617,0.403
24,12,0.622,0.427
24,13,0.596,0.425
25,1,0.538,0.293
25,2,0.547,0.312
25,3,0.595,0.376
25,4,0.564,0.347
25,5,0.546,0.329
25,6,0.577,0.368
25,7,0.612,0.402
25,8,0.635,0.426
25,9,0.636,0.433
25,10,0.651,0.42
25,11,0.617,0.411
25,12,0.634,0.432
25,13,0.585,0.417
26,1,0.56,0.306
26,2,0.549,0.31
26,3,0.61,0.388
26,4,0.583,0.367
26,5,0.552,0.344
26,6,0.583,0.371
26,7,0.622,0.413
26,8,0.639,0.433
26,9,0.639,0.438
26,10,0.644,0.421
26,11,0.624,0.419
26,12,0.644,0.45
26,13,0.583,0.407
27,1,0.573,0.314
27,2,0.577,0.332
27,3,0.614,0.4
27,4,0.583,0.354
27,5,0.558,0.347
27,6,0.582,0.389
27,7,0.623,0.434
27,8,0.644,0.443
27,9,0.646,0.446
27,10,0.66,0.439
27,11,0.623,0.425
27,12,0.651,0.462
27,13,0.606,0.412
28,1,0.569,0.331
28,2,0.564,0.321
28,3,0.618,0.403
28,4,0.584,0.373
28,5,0.57,0.369
28,6,0.597,0.396
28,7,0.64,0.448
28,8,0.661,0.46
28,9,0.657,0.471
28,10,0.669,0.453
28,11,0.647,0.45
28,12,0.647,0.455
28,13,0.601,0.432
