datemonth,IDage,exitrate
2006-07-01,19,0.211
2006-08-01,19,0.18
2006-09-01,19,0.179
2006-10-01,19,0.184
2006-11-01,19,0.182
2006-12-01,19,0.164
2007-01-01,19,0.173
2007-02-01,19,0.25
2007-03-01,19,0.179
2007-04-01,19,0.158
2007-05-01,19,0.17
2007-06-01,19,0.172
2007-07-01,19,0.239
2007-08-01,19,0.186
2007-09-01,19,0.198
2007-10-01,19,0.188
2007-11-01,19,0.185
2007-12-01,19,0.16
2008-01-01,19,0.171
2008-02-01,19,0.254
2008-03-01,19,0.189
2008-04-01,19,0.168
2008-05-01,19,0.173
2008-06-01,19,0.157
2008-07-01,19,0.226
2008-08-01,19,0.194
2008-09-01,19,0.19
2008-10-01,19,0.183
2008-11-01,19,0.144
2008-12-01,19,0.16
2009-01-01,19,0.135
2009-02-01,19,0.244
2009-03-01,19,0.178
2009-04-01,19,0.132
2009-05-01,19,0.138
2009-06-01,19,0.137
2009-07-01,19,0.214
2009-08-01,19,0.166
2009-09-01,19,0.171
2009-10-01,19,0.171
2009-11-01,19,0.173
2009-12-01,19,0.16
2010-01-01,19,0.166
2010-02-01,19,0.277
2010-03-01,19,0.178
2010-04-01,19,0.165
2010-05-01,19,0.151
2010-06-01,19,0.164
2010-07-01,19,0.224
2010-08-01,19,0.184
2010-09-01,19,0.181
2010-10-01,19,0.168
2010-11-01,19,0.174
2010-12-01,19,0.148
2011-01-01,19,0.13
2011-02-01,19,0.251
2011-03-01,19,0.189
2011-04-01,19,0.139
2011-05-01,19,0.167
2011-06-01,19,0.157
2011-07-01,19,0.229
2011-08-01,19,0.178
2011-09-01,19,0.176
2011-10-01,19,0.164
2011-11-01,19,0.161
2011-12-01,19,0.138
2012-01-01,19,0.15
2012-02-01,19,0.257
2012-03-01,19,0.137
2012-04-01,19,0.135
2012-05-01,19,0.14
2012-06-01,19,0.137
2012-07-01,19,0.201
2012-08-01,19,0.151
2012-09-01,19,0.129
2012-10-01,19,0.137
2012-11-01,19,0.142
2012-12-01,19,0.128
2013-01-01,19,0.131
2013-02-01,19,0.204
2013-03-01,19,0.131
2013-04-01,19,0.118
2013-05-01,19,0.123
2013-06-01,19,0.103
2013-07-01,19,0.187
2013-08-01,19,0.138
